[2017-07-16 01:29:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_1"},"is_exception":false} []
[2017-07-16 01:29:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_2"},"is_exception":false} []
[2017-07-16 01:29:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_3"},"is_exception":false} []
[2017-07-16 01:29:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_4"},"is_exception":false} []
[2017-07-16 01:29:59] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_1"},"is_exception":false} []
[2017-07-16 01:29:59] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_2"},"is_exception":false} []
[2017-07-16 01:29:59] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_3"},"is_exception":false} []
[2017-07-16 01:29:59] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/homemall/admin/theme/design_config/save/key/14d7f2eb9c8df909dfcc47a10a55423338d0d774d262e21eb73eb39fbb2e7fda/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_4"},"is_exception":false} []
[2017-07-16 01:30:28] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/flushSystem/key/ecb3462add53d393ddb2753d1d12571506b2bf780ecec4a097746301d9f41800/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-07-16 01:30:28] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/homemall/admin/admin/cache/flushSystem/key/ecb3462add53d393ddb2753d1d12571506b2bf780ecec4a097746301d9f41800/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
